🏆  MUNDIAL 2026  –  Calendário Completo & Classificação por Grupo,,,,,,,,,,,,,,,,,,
Horários em hora de Portugal Continental  |  11 junho – 19 julho 2026  |  Insere os golos nas células ⬛ amarelas — a classificação actualiza-se automaticamente,,,,,,,,,,,,,,,,,,
Grp,Data,Dia,Hora (PT),Jogo,"Golos
Casa", - ,"Golos
Fora",Canal,,Seleção,J,V,E,D,GM,GS,DG,Pts
J2,19/06/2026,Sexta,20:00,EUA x Austrália,,-,,Sport TV 1,,Austrália,0,0,0,0,0,0,0,0
J2,20/06/2026,Sábado,04:00,Turquia x Paraguai,,-,,Sport TV 2,,Turquia,0,0,0,0,0,0,0,0
J3,26/06/2026,Sexta,03:00,Turquia x EUA,,-,,Sport TV 1,,,,,,,,,,
J3,26/06/2026,Sexta,03:00,Paraguai x Austrália,,-,,Sport TV 2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO E,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,14/06/2026,Domingo,18:00,Alemanha x Curaçau,,-,,Sport TV 1 / LiveModeTV,,Alemanha,0,0,0,0,0,0,0,0
J1,15/06/2026,Segunda,00:00,Costa do Marfim x Equador,,-,,Sport TV 2,,Curaçau,0,0,0,0,0,0,0,0
J2,20/06/2026,Sábado,21:00,Alemanha x Costa do Marfim,,-,,Sport TV 1 / LiveModeTV,,Costa do Marfim,0,0,0,0,0,0,0,0
J2,21/06/2026,Domingo,01:00,Equador x Curaçau,,-,,Sport TV 2,,Equador,0,0,0,0,0,0,0,0
J3,25/06/2026,Quinta,21:00,Curaçau x Costa do Marfim,,-,,Sport TV 1,,,,,,,,,,
J3,25/06/2026,Quinta,21:00,Equador x Alemanha,,-,,Sport TV 2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO F,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,14/06/2026,Domingo,21:00,Países Baixos x Japão,,-,,Sport TV 1,,Países Baixos,0,0,0,0,0,0,0,0
J1,15/06/2026,Segunda,03:00,Suécia x Tunísia,,-,,Sport TV 2,,Japão,0,0,0,0,0,0,0,0
J2,20/06/2026,Sábado,18:00,Países Baixos x Suécia,,-,,Sport TV 1,,Suécia,0,0,0,0,0,0,0,0
J2,21/06/2026,Domingo,05:00,Tunísia x Japão,,-,,Sport TV 2,,Tunísia,0,0,0,0,0,0,0,0
J3,26/06/2026,Sexta,00:00,Japão x Suécia,,-,,Sport TV 1,,,,,,,,,,
J3,26/06/2026,Sexta,00:00,Tunísia x Países Baixos,,-,,Sport TV 2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO G,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,15/06/2026,Segunda,20:00,Bélgica x Egito,,-,,Sport TV 1,,Bélgica,0,0,0,0,0,0,0,0
J1,16/06/2026,Terça,02:00,Irão x Nova Zelândia,,-,,Sport TV 2,,Egito,0,0,0,0,0,0,0,0
J2,21/06/2026,Domingo,20:00,Bélgica x Irão,,-,,Sport TV 1,,Irão,0,0,0,0,0,0,0,0
J2,22/06/2026,Segunda,02:00,Nova Zelândia x Egito,,-,,Sport TV 2,,Nova Zelândia,0,0,0,0,0,0,0,0
J3,27/06/2026,Sábado,04:00,Egito x Irão,,-,,Sport TV 2,,,,,,,,,,
J3,27/06/2026,Sábado,04:00,Nova Zelândia x Bélgica,,-,,Sport TV 1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO H,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,15/06/2026,Segunda,17:00,Espanha x Cabo Verde,,-,,Sport TV 1 / LiveModeTV,,Espanha,0,0,0,0,0,0,0,0
J1,15/06/2026,Segunda,23:00,Arábia Saudita x Uruguai,,-,,Sport TV 2,,Cabo Verde,0,0,0,0,0,0,0,0
J2,21/06/2026,Domingo,17:00,Espanha x Arábia Saudita,,-,,Sport TV 1 / LiveModeTV,,Arábia Saudita,0,0,0,0,0,0,0,0
J2,21/06/2026,Domingo,23:00,Uruguai x Cabo Verde,,-,,Sport TV 2,,Uruguai,0,0,0,0,0,0,0,0
J3,27/06/2026,Sábado,01:00,Cabo Verde x Arábia Saudita,,-,,Sport TV 2,,,,,,,,,,
J3,27/06/2026,Sábado,01:00,Uruguai x Espanha,,-,,Sport TV 1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO I,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,16/06/2026,Terça,20:00,França x Senegal,,-,,Sport TV 1 / LiveModeTV,,França,0,0,0,0,0,0,0,0
J1,16/06/2026,Terça,23:00,Iraque x Noruega,,-,,Sport TV 2,,Senegal,0,0,0,0,0,0,0,0
J2,22/06/2026,Segunda,22:00,França x Iraque,,-,,Sport TV 1,,Iraque,0,0,0,0,0,0,0,0
J2,23/06/2026,Terça,01:00,Noruega x Senegal,,-,,Sport TV 2,,Noruega,0,0,0,0,0,0,0,0
J3,26/06/2026,Sexta,20:00,Noruega x França,,-,,Sport TV 1,,,,,,,,,,
J3,26/06/2026,Sexta,20:00,Senegal x Iraque,,-,,Sport TV 2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO J,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,17/06/2026,Quarta,02:00,Argentina x Argélia,,-,,Sport TV 1,,Argentina,0,0,0,0,0,0,0,0
J1,17/06/2026,Quarta,05:00,Áustria x Jordânia,,-,,Sport TV 2,,Argélia,0,0,0,0,0,0,0,0
J2,22/06/2026,Segunda,18:00,Argentina x Áustria,,-,,Sport TV 1 / LiveModeTV,,Áustria,0,0,0,0,0,0,0,0
J2,23/06/2026,Terça,04:00,Jordânia x Argélia,,-,,Sport TV 2,,Jordânia,0,0,0,0,0,0,0,0
J3,28/06/2026,Domingo,03:00,Argélia x Áustria,,-,,Sport TV 2,,,,,,,,,,
J3,28/06/2026,Domingo,03:00,Jordânia x Argentina,,-,,Sport TV 1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO K,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,17/06/2026,Quarta,18:00,Portugal x RD Congo,,-,,RTP 1 / LiveModeTV,,Portugal,0,0,0,0,0,0,0,0
J1,18/06/2026,Quinta,03:00,Uzbequistão x Colômbia,,-,,Sport TV 2,,RD Congo,0,0,0,0,0,0,0,0
J2,23/06/2026,Terça,18:00,Portugal x Uzbequistão,,-,,RTP 1 / LiveModeTV,,Uzbequistão,0,0,0,0,0,0,0,0
J2,24/06/2026,Quarta,03:00,Colômbia x RD Congo,,-,,Sport TV 2,,Colômbia,0,0,0,0,0,0,0,0
J3,28/06/2026,Domingo,00:30,Colômbia x Portugal,,-,,RTP 1,,,,,,,,,,
J3,28/06/2026,Domingo,00:30,RD Congo x Uzbequistão,,-,,Sport TV 2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO L,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,17/06/2026,Quarta,21:00,Inglaterra x Croácia,,-,,Sport TV 1,,Inglaterra,0,0,0,0,0,0,0,0
J1,18/06/2026,Quinta,00:00,Gana x Panamá,,-,,Sport TV 2,,Croácia,0,0,0,0,0,0,0,0
J2,23/06/2026,Terça,21:00,Inglaterra x Gana,,-,,Sport TV 1,,Gana,0,0,0,0,0,0,0,0
J2,24/06/2026,Quarta,00:00,Panamá x Croácia,,-,,Sport TV 2,,Panamá,0,0,0,0,0,0,0,0
J3,27/06/2026,Sábado,22:00,Panamá x Inglaterra,,-,,Sport TV 1,,,,,,,,,,
J3,27/06/2026,Sábado,22:00,Croácia x Gana,,-,,Sport TV 2,,,,,,,,,,
